receptor,train_type,mean_similarity,std_similarity,median_similarity,p95_similarity
PPARG,binder_train,0.094452151,0.063008468,0.086206897,0.2
PPARG,antagonist_train,0.084001325,0.060366673,0.075471698,0.189189189
PPARG,agonist_train,0.093288722,0.063602438,0.08490566,0.2
FXR,binder_train,0.086221381,0.061072872,0.078431373,0.189189189
FXR,antagonist_train,0.085805273,0.0627936,0.076923077,0.195121951
FXR,agonist_train,0.085692461,0.061208942,0.076923077,0.19047619
PXR,binder_train,0.084667364,0.062546745,0.075471698,0.194444444
PXR,agonist_train,0.084667106,0.062587575,0.075471698,0.194444444
GR,binder_train,0.085300891,0.058658798,0.078125,0.179487179
GR,antagonist_train,0.083444857,0.0607118,0.075,0.186046512
GR,agonist_train,0.083965642,0.059072665,0.076086957,0.183673469
RXR,binder_train,0.087790614,0.07122324,0.076923077,0.195652174
RXR,agonist_train,0.085375436,0.062838832,0.076923077,0.194444444
ERB,binder_train,0.08503858,0.059247135,0.076923077,0.184615385
ERB,antagonist_train,0.08413181,0.059958715,0.075757576,0.1875
ERB,agonist_train,0.083896828,0.059254211,0.075757576,0.186440678
AR,binder_train,0.083449839,0.058482629,0.075471698,0.181818182
AR,antagonist_train,0.083344281,0.059062313,0.075471698,0.184210526
AR,agonist_train,0.083805328,0.059140093,0.075757576,0.185714286
PPARD,binder_train,0.088027246,0.060273208,0.080357143,0.19047619
PPARD,antagonist_train,0.08407229,0.060499478,0.075471698,0.189189189
PPARD,agonist_train,0.087192789,0.06014699,0.079365079,0.189189189
PR,binder_train,0.082897329,0.059690767,0.075,0.181818182
PR,antagonist_train,0.083831647,0.06089233,0.075471698,0.1875
PR,agonist_train,0.084076144,0.06086363,0.075757576,0.189189189
ERA,binder_train,0.085067387,0.059455949,0.076923077,0.184210526
ERA,antagonist_train,0.084409788,0.060256983,0.076086957,0.188235294
ERA,agonist_train,0.083577692,0.059476647,0.075471698,0.186666667
PPARA,binder_train,0.201183652,0.090931054,0.180851064,0.372340426
PPARA,agonist_train,0.216090248,0.096623996,0.191919192,0.4
TPO,binder_train,0.086090113,0.063284939,0.078125,0.19047619
DIO2,binder_train,0.086391774,0.065790975,0.076086957,0.2
TSHR,antagonist_train,0.083636659,0.059808628,0.075757576,0.1875
TSHR,agonist_train,0.089299441,0.055649438,0.084033613,0.183098592
NIS,binder_train,0.083828287,0.063746621,0.075,0.186046512
TR,antagonist_train,0.082008448,0.058236438,0.074074074,0.181818182
DIO1,binder_train,0.086415237,0.06575902,0.076923077,0.2
TRHR,antagonist_train,0.083526732,0.059921065,0.075471698,0.1875
DIO3,binder_train,0.086367566,0.065795735,0.075949367,0.2
